tema_id,n_palabras,fuerza_intra,fuerza_extra,fuerza_total,ratio_endogamia,broker_index,hub_local,eigenvector_interno,aislamiento,veredicto
1,107,3974.0,1550.0,5524.0,0.7194,0.6192,0.0,0.004777,0.611,conector_legitimo
2,83,5463.0,3985.0,9448.0,0.5782,0.6874,-0.0,0.021874,0.0,conector_legitimo
3,99,3476.0,3716.0,7192.0,0.4833,0.5494,-0.0,0.017877,0.0675,conector_legitimo
4,110,1522.0,72.0,1594.0,0.9548,0.5125,0.0,3.1e-05,0.9819,burbuja_vacia
6,84,1145.0,432.0,1577.0,0.7261,0.505,-0.0,0.001109,0.8916,conector_legitimo
8,100,3203.0,2585.0,5788.0,0.5534,0.5463,0.0,0.012071,0.3513,conector_legitimo
9,102,1169.0,167.0,1336.0,0.875,0.405,-0.0,0.000428,0.9581,huerfano
10,119,1437.0,29.0,1466.0,0.9802,0.5016,0.0,1e-06,0.9927,burbuja_vacia
11,137,2435.0,19.0,2454.0,0.9923,0.6211,-0.0,6.2e-05,0.9952,burbuja_vacia
13,82,1964.0,913.0,2877.0,0.6827,0.5648,0.0,0.002944,0.7709,conector_legitimo
14,92,2869.0,1792.0,4661.0,0.6155,0.618,0.0,0.006224,0.5503,conector_legitimo
